cell_id,provider,model,profile,paired_seed_group,source_run,position_id,canonical_position,starting_fen,defender_seed,terminal_reason,success,attacking_moves,total_plies,illegal_attempts,rejected_attempts,input_tokens,output_tokens,api_attempts,provider_latency_ms
claude_opus5,anthropic,claude-opus-5,"adaptive thinking, effort=max",claude-separate-seeds,opus5-kqk-no-legal-10-20260725,kqk-001-r1,kqk-001,5Q2/8/2k2K2/8/8/8/8/8 w - - 0 1,715393769,checkmate,True,7,13,0,0,16500,45315,7,603890.8131600037
deepseek_v4pro_high,deepseek,deepseek-v4-pro,"thinking enabled, effort=high",shared-core5,deepseek-v4-pro-kqk-remaining-9-20260726,kqk-001-qualification-r1,kqk-001,5Q2/8/2k2K2/8/8/8/8/8 w - - 0 1,662730689,checkmate,True,12,23,2,2,28914,86347,14,1538606.7082010559
deepseek_v4pro_max65k,deepseek,deepseek-v4-pro,"thinking enabled, effort=max, 65K cap",shared-core5,deepseek-v4-pro-max-65k-kqk-core5-20260726,kqk-001-qualification-r1,kqk-001,5Q2/8/2k2K2/8/8/8/8/8 w - - 0 1,662730689,checkmate,True,12,23,1,3,41258,357063,15,5384516.313308966
openai_gpt56sol,openai,gpt-5.6-sol,reasoning effort=max,shared-core5,gpt56sol-kqk-qualification-5-20260725,kqk-001-qualification-r1,kqk-001,5Q2/8/2k2K2/8/8/8/8/8 w - - 0 1,662730689,checkmate,True,6,11,0,0,7413,14794,6,241948.02011999127
claude_opus5,anthropic,claude-opus-5,"adaptive thinking, effort=max",claude-separate-seeds,opus5-kqk-no-legal-10-20260725,kqk-002-r1,kqk-002,6Q1/6K1/8/8/8/5k2/8/8 w - - 0 1,620813155,checkmate,True,7,13,0,0,15007,17642,7,246187.20537897025
deepseek_v4pro_high,deepseek,deepseek-v4-pro,"thinking enabled, effort=high",shared-core5,deepseek-v4-pro-kqk-remaining-9-20260726,kqk-002-qualification-r1,kqk-002,6Q1/6K1/8/8/8/5k2/8/8 w - - 0 1,1837672429,major_piece_lost,False,9,18,2,2,16846,82110,11,1411072.3204740207
deepseek_v4pro_max65k,deepseek,deepseek-v4-pro,"thinking enabled, effort=max, 65K cap",shared-core5,deepseek-v4-pro-max-65k-kqk-core5-20260726,kqk-002-qualification-r1,kqk-002,6Q1/6K1/8/8/8/5k2/8/8 w - - 0 1,1837672429,checkmate,True,9,17,1,1,20942,134476,10,1947030.7433010894
openai_gpt56sol,openai,gpt-5.6-sol,reasoning effort=max,shared-core5,gpt56sol-kqk-qualification-5-20260725,kqk-002-qualification-r1,kqk-002,6Q1/6K1/8/8/8/5k2/8/8 w - - 0 1,1837672429,checkmate,True,8,15,0,0,12826,11805,8,208677.55842398037
claude_opus5,anthropic,claude-opus-5,"adaptive thinking, effort=max",claude-separate-seeds,opus5-kqk-no-legal-10-20260725,kqk-003-r1,kqk-003,8/1k6/8/1K6/6Q1/8/8/8 w - - 0 1,294980870,checkmate,True,3,5,0,0,3390,3752,3,52735.50963800517
deepseek_v4pro_high,deepseek,deepseek-v4-pro,"thinking enabled, effort=high",shared-core5,deepseek-v4-pro-kqk-smoke-1-20260726,kqk-003-qualification-r1,kqk-003,8/1k6/8/1K6/6Q1/8/8/8 w - - 0 1,1901395081,checkmate,True,3,5,0,0,1753,7033,3,121377.55590400775
